,,,,,
Kampala International University in Tanzania (KIUT),Ordinary Diploma in Clinical Medicine,"Holders of Certificate of Secondary Education Examination (CSEE)
with four (4) passes in non-religious subjects including Chemistry,
Biology and Physics/Engineering Sciences. A pass in Basic Mathematics
and English Language is an added advantage.",3,300,"Local Fee: TSH. 1,900,000/="
Kampala International University in Tanzania (KIUT),"Ordinary Diploma in Environmental Health
Sciences","Holders of Certificate of Secondary Education Examination (CSEE)
with At Least four (4) Passes in non-religious Subjects including
Biology Chemistry and Physics/Engineering Sciences.",3,100,"Local Fee: TSH. 1,900,000/="
Kampala International University in Tanzania (KIUT),Ordinary Diploma in Medical Laboratory Sciences,"Holders of Certificate of Secondary Education Examination (CSEE)
with At Least four (4) Passes in non-religious Subjects including
Chemistry, Biology, Physics/Engineering sciences/Basic Mathematics
and English Language.",3,200,"Local Fee: TSH. 1,900,000/="
Kampala International University in Tanzania (KIUT),Ordinary Diploma in Pharmaceutical Sciences,"Holders of Certificate of Secondary Education Examination (CSEE)
with At Least four (4) Passes in non-religious Subjects including
Chemistry and Biology. A Pass in Basic Mathematics and English
Language Is An Added Advantage.",3,400,"Local Fee: TSH. 1,900,000/="
,,,,,
,,,,,
,,,,,
,,,,,
university_name,Program Name (Award),Admission Requirements,Program Duration (Yrs),Admission Capacity,Tuition Fees
Kilimanjaro Christian Medical University College (KCMUCo),Diploma in Occupational Therapy,"Holders of Certificate of Secondary Education Examination (CSEE)
with at least four (4) passes in non religious Subjects including C pass
in Biology and any two subjects in Chemistry, Mathematics,
Geography, Economics, Physics/Physical Sciences.",3,50,"Local Fee: TSH. 2,380,000/="
Kilimanjaro Christian Medical University College (KCMUCo),Ordinary Diploma in Medical Laboratory Sciences,"Holders of Certificate of Secondary Education Examination (CSEE)
with At Least four (4) Passes in non-religious Subjects including
Chemistry, Biology, Physics/Engineering sciences/Basic Mathematics
and English Language.",3,100,"Local Fee: TSH. 2,980,000/="
,,,,,
,,,,,
,,,,,
university_name,Program Name (Award),Admission Requirements,Program Duration (Yrs),Admission Capacity,Tuition Fees
Marian University College (MARUCo),Ordinary Diploma in Pharmaceutical Sciences,"Holders of Certificate of Secondary Education Examination (CSEE)
with At Least four (4) Passes in non-religious Subjects including
Chemistry and Biology. A Pass in Basic Mathematics and English
Language Is An Added Advantage.",3,100,"Local Fee: TSH. 2,250,400/="
,,,,,
,,,,,
,,,,,
,,,,,
university_name,Program Name (Award),Admission Requirements,Program Duration (Yrs),Admission Capacity,Tuition Fees
Mbeya University of Science and Technology (MUST),Diploma in Architecture,"Holders of Certificate of Secondary Education Examination (CSEE)
with Four (4) Passes in non-religious Subjects, three of which must be
Mathematics, Physics, Chemistry/Geography",3,50,"Local Fee: TSH. 900,000/="
Mbeya University of Science and Technology (MUST),Diploma in Bio Medical Equipment Engineering,"Holders of Certificate of Secondary Education Examination (CSEE)
with at least Four (4) Passes in non-religious Subjects including
Physics,Chemistry and Basic Mathematics.",3,50,"Local Fee: TSH. 1,000,000/="
Mbeya University of Science and Technology (MUST),Diploma in Business Administration,"Holders of Certificate of Secondary Education Examination (CSEE)
with at least four (4) passes in non-religious subjects",3,50,"Local Fee: TSH. 600,000/="
Mbeya University of Science and Technology (MUST),Diploma in Civil Engineering,"Holders of Certificate of Secondary Education Examination (CSEE)
with at least Four (4) passes in non-religious subjects including
Physics, Chemistry and Basic Mathematics.",3,50,"Local Fee: TSH. 600,000/="
Mbeya University of Science and Technology (MUST),Diploma in Computer Engineering,"Holders of Certificate of Secondary Education Examination (CSEE)
with at least Four (4) passes in non-religious subjects including
Physics, Chemistry and Basic Mathematics subjects.",3,50,"Local Fee: TSH. 1,000,000/="
Mbeya University of Science and Technology (MUST),Diploma in Computer Science,"Holders of Certificate of Secondary Education Examination (CSEE)
with Four (4) passes in non-religious subjects.",3,100,"Local Fee: TSH. 1,500,000/="
Mbeya University of Science and Technology (MUST),Diploma in Electric and Electronics Engineering,"Holders of Certificate of Secondary Education Examination (CSEE)
with at least Four (4) passes in non- religious subjects including a pass in Basic Mathematics and Physics/Engineering Sciences and Chemistry",3,100,"Local Fee: TSH. 600,000/="
Mbeya University of Science and Technology (MUST),Diploma in Electrical Engineering,"Holders of Certificate of Secondary Education Examination (CSEE)
with at least Four (4) passes in non- religious subjects including a pass
in Basic Mathematics and Physics/Engineering Sciences",3,100,"Local Fee: TSH. 1,400,000/="
Mbeya University of Science and Technology (MUST),"Diploma in Electronics and Telecomunication
Engineering","Holders of Certificate of Secondary Education Examination (CSEE)
with at least Four (4) passes in non-religious subjects including passes
in physics, Chemistry and Basic Mathematics.",3,100,"Local Fee: TSH. 600,000/="
